Rank, ,Player,Position,Draft Age,Height,Wingspan,Weight,GP,MPG,PTS/G,AST/G,TOV/G,STL/G,BLK/G,ORB/G,DRB/G,TRB/G,PF/G,2P%,3P%,FT%,eFG%,TS%,USG%,AST%,TOV%,STL%,BLK%,ORB%,DRB%,TRB%,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
75,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397132.png&w=350&h=254"" height=""40""></img>",Jahvon Quinerly,Lead Guard,23.6,73,NA,175,13,31.5,14.9,4.3,2.8,1,0.2,0.2,2.9,3.2,1.6,52,20,30,49.4,52,25.1,23.9,16.2,1.7,0.5,0.8,9.3,5.3,106.4,103.9,0.8,0.5,1.3,2.8,1.5,4.3
76,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397101.png"" height=""40""></img>",Will Richardson,Combo Guard,22.8,77,NA,180,14,32.2,13.6,3.6,2,0.9,0,0.8,2.5,3.3,2.1,39,29,26,56.49999999999999,58.599999999999994,22.2,22.1,14.7,1.6,0,3,9.6,6.3,117,103.4,1.3,0.5,1.9,6,-0.2,5.8
77,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397246.png&w=350&h=254"" height=""40""></img>",Trevion Williams,Big,21.8,81.75,NA,255,13,20.7,13.3,3.2,2.1,1.2,0.8,3.1,6,9.1,2.1,70,2,27,61.9,61.9,30.7,31.6,16.2,3.3,4.8,19.6,30.6,25.7,126.4,85.5,1.6,0.8,2.3,9.5,5.3,14.8
78,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432932.png&w=350&h=254"" height=""40""></img>",Max Abmas,Combo Guard,21.2,72,"6'1 3/4 """,161.8,14,34.1,21.2,3.5,2.4,1.1,0.1,0.1,3.1,3.1,1.9,43,57,40,56.599999999999994,59.699999999999996,28.4,19.1,12,1.8,0.2,0.2,9.3,4.8,119.5,97.6,1.9,0.8,2.7,4.3,-1.8,2.5
79,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896481.png"" height=""40""></img>",Alex Fudge,Wing,19.1,78,NA,175,13,16.6,4.8,0.5,1.4,1.5,0.6,1.8,2.7,4.5,1.1,21,2,15,48,51.300000000000004,17.2,5.4,22.7,5.1,5.2,12.2,16.8,14.5,98.2,71.2,0.2,0.9,1.1,0.6,6.9,7.5
80,"<img src=""https://id-prospects.com/wp-content/uploads/2020/09/pixlr-bg-result-56-e1600135920446.png"" height=""40""></img>",Mojave King,Wing,20,77,"6'7 1/2 """,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432181.png"" height=""40""></img>",Julian Strawther,Wing,20.2,79,"6'8 3/4 """,210,13,25.5,13.2,1,0.8,0.8,0.2,1.8,4.2,6,2,37,25,22,60.6,62.3,21.5,6.5,6.8,1.7,0.6,8.5,16.3,12.8,131.3,88.3,1.3,0.9,2.2,6.8,2,8.8
82,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432550.png&w=350&h=254"" height=""40""></img>",Mike Miles,Lead Guard,19.8,74,NA,195,10,31.2,16.9,4.6,3.3,1.4,0.1,0.2,3.6,3.8,1.8,39,16,43,44.1,50.1,30.4,29.3,16.4,2.6,0.4,0.7,12.7,6.5,105.3,91.1,0.7,0.7,1.4,1.9,1.5,3.4
83,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432680.png"" height=""40""></img>",Brandon Huntley-Hatfield,Forward,18.9,82,NA,246,12,13.9,5.3,0.3,0.7,0.6,0.6,1.3,2.2,3.4,0.8,28,1,4,53.6,54,19.2,3.3,12.1,2.4,5.1,9.5,17.8,13.5,106.8,85.5,0.3,0.5,0.7,0.5,1.9,2.4
84,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432195.png&w=350&h=254"" height=""40""></img>",Andre Curbelo,Lead Guard,20.7,73,"6'3 1/2 """,175,4,22.3,9.3,5.5,4,1,0.3,1.3,3,4.3,2.5,11,2,9,32.6,38,34.7,44.1,24.7,2.6,1.1,6.7,13.7,10.4,87.9,93.2,0,0.2,0.2,0.3,2.2,2.5
85,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702463.png"" height=""40""></img>",Efe Abogidi,Forward,20.7,82,"7'4""",225,13,19.1,7.1,0.5,1.2,0.5,1.8,1.9,3,4.9,1.9,33,1,23,61.6,65.9,16.6,5.6,17.7,1.4,10.6,11.2,17.3,14.2,125.4,88.7,0.8,0.6,1.4,2.6,4.6,7.2
86,"<img src=""https://id-prospects.com/wp-content/uploads/2020/09/pixlr-bg-result-44-e1600107659515.png"" height=""40""></img>",Ibou Badji,Big,19.7,85.25,"7'8 3/4 """,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431785.png&w=350&h=254"" height=""40""></img>",Scotty Pippen,Combo Guard,20.6,73.75,"6'5 1/2 """,176.2,12,30.8,18.1,2.5,2.7,1.8,0.2,0.8,2.9,3.8,1.8,52,22,47,49.1,53,32.2,20.7,13.5,3.5,0.7,2.9,11.3,6.8,106,89.3,0.9,0.9,1.8,4.6,3.2,7.8
88,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4396978.png&w=350&h=254"" height=""40""></img>",Darius Days,Forward,22.7,79,"7'0 1/2 """,245,13,29,14.7,0.8,1.1,1.5,0.2,1.5,6.5,8,1.8,37,32,21,52.800000000000004,54.800000000000004,23.4,5.1,7.4,2.8,1.1,5.8,23.1,14.7,117.2,75.1,1.1,1.5,2.6,5.3,4.6,9.8
89,"<img src=""https://id-prospects.com/wp-content/uploads/2021/01/Guilherme-Carvalho-dos-Santos-Basketball.png"" height=""40""></img>",Guilherme Santos,Forward,20,80,NA,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
